16.32,77.02
11.21,29.32
38.21,71.43
92.66,14.87
73.52,49.78
81.83,85.97
96.46,90.20
2.34,72.45
72.74,57.67
74.82,45.52
29.11,62.93
64.36,20.72
40.88,16.32
27.50,84.87
40.52,31.85
37.94,72.31
77.98,36.76
67.05,80.25
24.33,56.26
51.97,16.39
216.32,57.44
53.85,35.64
20.37,29.05
48.99,0.10
93.34,16.32
96.80,71.60
52.20,17.25
16.76,20.90
26.48,76.32
16.32,50.14
4.34,7.65
86.52,38.59
22.83,64.71
97.70,49.95
99.94,69.84
81.02,95.80
41.63,88.72
46.35,61.33
5.65,33.07
91.51,16.32
9.45,94.59
85.46,93.43
86.68,36.86
96.05,13.90
0.38,58.83
80.72,88.28
20.71,60.32
87.16,93.32
16.32,22.79
49.32,71.95
76.76,28.74
15.91,74.66
11.68,28.83
5.44,40.23
90.36,78.77
10.87,37.07
28.38,96.86
14.41,74.61
8.42,616.32
26.96,86.74
94.42,5.10
21.64,28.16
20.31,69.20
49.85,32.96
16.32,40.68
16.41,16.26
13.34,45.80
79.74,54.37
42.77,99.33
4.74,4.11
84.97,71.29
57.92,73.05
78.87,36.40
14.54,40.00
13.52,49.85
24.69,16.32
97.67,24.31
96.42,84.67
77.51,61.38
90.19,9.17
81.51,31.02
92.98,13.35
36.13,35.19
83.68,23.63
93.06,24.43
23.56,11.06
5.56,17.68
28.17,89.73
13.61,29.39
47.85,44.16
33.95,87.17
96.43,8.00
28.27,39.68
69.29,26.41
8.31,7.14
87.50,76.06
26.69,76.37
59.14,11.92
84.59,18.12
86.23,76.36
11.67,78.03
89.09,66.04
25.83,92.97
37.98,42.35
17.36,17.36
63.64,39.19
67.94,57.95
50.77,84.32
94.60,40.27
11.46,72.30
15.62,45.18
20.90,88.61
0.49,26.45
85.81,7.68
14.54,40.61
35.48,26.25
85.72,30.37
22.56,75.06
27.15,98.56
49.61,14.20
7.38,5.49
56.78,8.54
28.07,61.59
95.99,21.27
35.87,28.55
91.36,19.00
37.69,86.67
32.79,70.90
24.84,19.34
14.23,43.44
72.88,84.77
13.04,14.79
41.87,11.25
72.89,62.56
63.47,67.20
0.51,11.31
57.48,26.96
89.83,89.16
85.59,47.55
60.86,51.81
46.81,73.98
82.70,78.97
37.84,42.89
74.76,63.86
95.19,51.33
52.13,56.89
17.33,14.21
52.53,77.38
31.36,42.87
50.76,6.33
